site_name,address,city,state,programs,has_ot,has_pt,has_pa,latitude,longitude,geo_key
Fairway Physical Therapy,"573 S Main St, Central Square, NY",Central Square,NY,PT,False,True,False,43.2803514,-76.1453272,"573 S MAIN ST, CENTRAL SQUARE, NY"
Family Care PT,"2390 North Forest Road, Ste 3, Getzville, NY",Getzville,NY,PT,False,True,False,43.0089747,-78.77704779999999,"2390 NORTH FOREST ROAD, STE 3, GETZVILLE, NY"
Family Centered Services of Alaska,"1825 Marika Rd, Fairbanks, AL",Fairbanks,AL,"PT, OT",True,True,False,64.853888,-147.7633325,"1825 MARIKA RD, FAIRBANKS, AL"
Family First Therapy,"18115 N US HWY 41, Suite 800, Lutz, FL",Lutz,FL,OT,True,False,False,28.1366483,-82.46222600000002,"18115 N US HWY 41, SUITE 800, LUTZ, FL"
Family Practice Center,"310 Willow St Pike, Willow Street, PA",Willow Street,PA,PT,False,True,False,39.9807998,-76.2818612,"310 WILLOW ST PIKE, WILLOW STREET, PA"
Family Support Services,"85 Metro Park, Rochester, NY",Rochester,NY,OT,True,False,False,43.0970294,-77.6169178,"85 METRO PARK, ROCHESTER, NY"
Finger Lakes Development Disabilities Service Office,"620 Westfall Road, Rochester, NY",Rochester,NY,"OT, PT",True,True,False,43.11781910000001,-77.6057271,"620 WESTFALL ROAD, ROCHESTER, NY"
Fingerlakes Developmental Disabilities-Geneseo,"3220 Middle Cheshire Road, Canandaigua, NY",Canandaigua,NY,PT,False,True,False,42.8734896,-77.2920998,"3220 MIDDLE CHESHIRE ROAD, CANANDAIGUA, NY"
First Health Outpatient Rehabilitation Services,"12 Aviemore Dr, Pinehurst, NC",Pinehurst,NC,PT,False,True,False,35.20521190000001,-79.45160039999999,"12 AVIEMORE DR, PINEHURST, NC"
Fit Heart MD,"14411 Hamlin St., Van Nuys, CA",Van Nuys,CA,PA,False,False,True,34.1889312,-118.4470853,"14411 HAMLIN ST., VAN NUYS, CA"
FIT Physical Therapy- Overton,"475 N Moapa Valley Blvd, Overton, NV",Overton,NV,PT,False,True,False,36.5493463,-114.4536478,"475 N MOAPA VALLEY BLVD, OVERTON, NV"
Fitness Forum Physical Therapy,"Corporate Office: 621 Hiawatha Blvd W, Syracuse, NY",Syracuse,NY,PT,False,True,False,43.0627877,-76.1746254,"CORPORATE OFFICE: 621 HIAWATHA BLVD W, SYRACUSE, NY"
Fort Drum,"11050 Mt. Belvedere Blvd, Fort Drum, NY",Fort Drum,NY,OT,True,False,False,44.0599954,-75.81245299999999,"11050 MT. BELVEDERE BLVD, FORT DRUM, NY"
"Fort Drum, Guthrie PT Clinic","11050-A Mt. Belvedere Blvd., Fort Drum, NY",Fort Drum,NY,PT,False,True,False,44.0599954,-75.81245299999999,"11050-A MT. BELVEDERE BLVD., FORT DRUM, NY"
Four Seasons Dermatology,"354 Mountain View Drive, Colchester, VT",Colchester,VT,PA,False,False,True,44.5090619,-73.1837764,"354 MOUNTAIN VIEW DRIVE, COLCHESTER, VT"
Four Winds Behavioral Health,"30 Crescent Ave., Saratoga Springs, NY",Saratoga Springs,NY,PA,False,False,True,43.0575977,-73.784392,"30 CRESCENT AVE., SARATOGA SPRINGS, NY"
Fox Rehabilitation Services,"7 CARNEGIE PLAZA, CHERRY HILL, NJ",CHERRY HILL,NJ,PT,False,True,False,39.9176021,-74.96252129999999,"7 CARNEGIE PLAZA, CHERRY HILL, NJ"
Fox Rehabilitation Therapy Partners,"7 Carnegie Plaza, Cherry Hill, NJ",Cherry Hill,NJ,"PT, PA, OT",True,True,True,39.9176021,-74.96252129999999,"7 CARNEGIE PLAZA, CHERRY HILL, NJ"
FoxCare (Fox Hospital) Bassett Healthcare Network,"1 Foxcare Drive, Oneonta, NY",Oneonta,NY,PT,False,True,False,42.456269,-75.0291695,"1 FOXCARE DRIVE, ONEONTA, NY"
Fraser Pediatric therapy,"3333 University Ave SE, Minneapolis, MN",Minneapolis,MN,OT,True,False,False,44.9690393,-93.20982939999999,"3333 UNIVERSITY AVE SE, MINNEAPOLIS, MN"
"Frederick Sabido M.D., F.A.C.S","1551 Richmond Avenue, Suite 2a, Staten Island, NY",Staten Island,NY,PA,False,False,True,40.6100819,-74.15953019999999,"1551 RICHMOND AVENUE, SUITE 2A, STATEN ISLAND, NY"
Frontrange Hippotherapy,"10456 North Foothills Hwy, Longmont, CO",Longmont,CO,PT,False,True,False,40.1639878,-105.2687713,"10456 NORTH FOOTHILLS HWY, LONGMONT, CO"
FTG Physical Therapy-Lakemont,"4935 Lakemont Blvd. SE, Suite 4, Bellevue, WA",Bellevue,WA,PT,False,True,False,47.5579074,-122.1141912,"4935 LAKEMONT BLVD. SE, SUITE 4, BELLEVUE, WA"
Function Better PT PLLC,"3061 Rt 28, Herkimer, NY",Herkimer,NY,PT,False,True,False,43.0475708,-74.9863139,"3061 RT 28, HERKIMER, NY"
Fyzical LLC,"9070 West Cheyenne Avenue, Las Vegas, NV",Las Vegas,NV,"PT, OT",True,True,False,36.2188818,-115.2945658,"9070 WEST CHEYENNE AVENUE, LAS VEGAS, NV"
Fyzical Therapy and Balance Centers,"1751 Mound St., Suite 102, Sarasota, FL",Sarasota,FL,PT,False,True,False,27.3287641,-82.5348659,"1751 MOUND ST., SUITE 102, SARASOTA, FL"
FYZICAL-Boynton Beach,"1903 S. Congress Avenue,  Suite 100, Boynton Beach, FL",Boynton Beach,FL,PT,False,True,False,26.510685,-80.09163010000002,"1903 S. CONGRESS AVENUE, SUITE 100, BOYNTON BEACH, FL"
G&E Therapies,"236 Burts Road, Kirkwood, NY",Kirkwood,NY,"PT, OT",True,True,False,42.0391887,-75.7670492,"236 BURTS ROAD, KIRKWOOD, NY"
Garden OBGYN,"260 E 67th Street, New York, NY",New York,NY,PA,False,False,True,40.7655494,-73.96110519999999,"260 E 67TH STREET, NEW YORK, NY"
Garnet Health Medical Center,"707 E. Main St., Middletown, NY",Middletown,NY,PA,False,False,True,41.4422018,-74.3682382,"707 E. MAIN ST., MIDDLETOWN, NY"
Garrison Rehab Solutions,"406 S Main, Wonnsboro, TX",Wonnsboro,TX,OT,True,False,False,32.9538964,-95.2918869,"406 S MAIN, WONNSBORO, TX"
"Genesee Orthopedics & Plastic Surgery Associates, PC","4401 Middle Settlement Rd., #102, New Hartford, NY",New Hartford,NY,PA,False,False,True,43.0803945,-75.33523850000002,"4401 MIDDLE SETTLEMENT RD., #102, NEW HARTFORD, NY"
Genesis Eldercare Rehabiliation Services,"101 East State Street, Kennett Square, PA",Kennett Square,PA,PT,False,True,False,39.8470775,-75.7116167,"101 EAST STATE STREET, KENNETT SQUARE, PA"
Genesis PT & Wellness,"710 S Main Street, Suite 140, Fort Worth, TX",Fort Worth,TX,PT,False,True,False,32.7368964,-97.3260876,"710 S MAIN STREET, SUITE 140, FORT WORTH, TX"
Geneva General Hospital and Fingerlakes Health,"196 North Street, Geneva, NY",Geneva,NY,PT,False,True,False,42.87652300000001,-76.9882477,"196 NORTH STREET, GENEVA, NY"
Giombetti and Brady Pediatrics,"28 Deleware Ave, Delmar, NY",Delmar,NY,PA,False,False,True,42.6508838,-73.7683523,"28 DELEWARE AVE, DELMAR, NY"
